userName,Review
Cuenk Thoal,aplikasi sering update bentar update
Bobby Hill,customer servicenya mana ngumpetnya cari donk gak nemu ngumpet mana padahal mereka gaji
dunawi awi,baik saja lanjut
Kak Way,sekarang harga yg tera ubah saat mau cek outmodel apalagi iya
Rafa channel,oke
april pandiangan,jadi banyak tambah biaya malah murah di platform lain
ranies zahra,seringg top di tokped selalu dapet promo belanja apa di tokped harga jadi miring sukses selalu tokped
arif howard,oke
amri yansyah,sudah bagus cuman masih ada juga toko yg agak nakal
Hakim Towet,oke
Esi Difla,ganti nmr di akun sudah bisa dan sudah ganti tapi pas checkout guna paylatter confirm codenya masih di kirim ke nomer yang lama gimana iya
khazaini ilman,entah bagi orang lain bagi saya ini sering update
Ratih Binaryati,apbnyk diskon per kn
risnandar cotay,oke
Rudi Pratama,saya sangat senang aplikasi tokopedia sangat untung
pandawa03,bagus dan praktis
Try Hapsari,sudah tidak ada gratis ongkir
Muhamad Safei,kak ini promo gaji tambahin dong nominal kupon nya jangan tambahin yg samp dong iya
Yuni Astutik,oke
Achlan Setian dani,oke topp
Dewy Yuli Yanti,bgussssss
Zul Matrempit,mqntap coy
Tri Mandono,baru pertama
Edimas Nuri (Po'ing/Dimas),mantap semenjak saya belanja di tokopedia tidak pernah kecewa denga apa yg saya pesan
Ahmad Jauharul Manan,baik
Zivanna Avrilya,jauh ini apknya bagus tapi tolong kasih fitur lacak posisi kurir dong biar tahu paket kita sampe dimanaa
Sharp 1pk,baik
Rijal Sbastian,bagus skalii
Budiman Thiodono,harga barang murah dan kualitas premium
Ayud Taryudin,oke sangat bantu
Purwanto Anto,susah amat di update
Darwanto,kalau bisa rating toko barang dan kirim beda kasi juga sama jual yg responnya cepet tapi kirim lambat atau barang yg jual buruk tapi sale jual baik dan kirim cepat langgan lama tapi promo nya hampir gak ada beda sama dulu yg tiap bulan pasti ada saja promonya mulai dari token belanja dll sekarang
Mbak Musiyam,mantap
Ikram Kurniawansyah,gin dulu kalau sudah sesuai layan nambah dah
AHMAD MUNDAKIR,lama iya di proses masa gak selesai pas mau cancel harus nunggu jual jugagimana dah
nendra nendra,sangat puas
Sri Widodo,transaksi cepat kirim cepat aman
Mochamad Nuryadi,top banget deh
Harsono Byantara,oke
Teknik Utama Sejahtera,tolong peaiki woy searching barang kok tidak nongol nongol ketik aki motobatt saja opps barang tidak ada kena hack apa
Nabil Alfatih,bagus
Ahmad muklisin Himan,tolong buat tokped tiktok lebih penting seller jngn manja beli harus fer masa bintang lngsung dapet sangsi dihhhhh
Zain Zain,mantap
Santri Matematika,kok jadi ribet searching nya
Ilianto Sahadi,bagus tapi klw boleh usul sama para resiler bisa cod dong
Robin Shen,tempat belanja online favorit ku iya tokopedia
yanto,good
Mujiono,fitur search produk nya tolong di benah susah nyari produk nya
M. Sofian,apasih tokped inike menu cari saat ketik nama barang nya gak muncul aneh bener sampe ulang ulang kali nama nya tetap gak temu nama barang nya
Jepa Ardiansyah,aplikasi suka ada bug masak cari produk gak muncul di suruh pakai kata kunci lain
Wididaw,ribet banget masa ketik parfume saja gak keluar produk ribet
Young Master,sudah mulai sepi banget jual di tokopedia
Budi Utomo,tokped aneh harga barang pas cek total pesan kok ubah jadi itu hanya total harga barang saja belum masuk proteksiongkirdan biaya lain hati hati buat yang mau belanja harus cek dulu
Zhafran Meltama,banyak bug saya tidak dapat cari barang
Mahir Mahir,kenapa mitra tokopedia masih di alih ke tokopedia
Simon Triono Sipahutar,update akhir yang guncang - kok gabisa kolom cari suruh ganti kata kunci mulu tolong dibenerin
Zase Nathra,komplen barang susah tidak bisa upload video unboxing ketemu seler tipu di tokped tapi tidak bisa komplen barang
Abdur Rokhim,kenapa tidak bisa buwat top dana
Yosua pb,aplikasi bagus tidak ada bug respon admin sangat baik tapi sejak gabung tiktok jdi kurang nyaman pandang tapi msh mending drpd oren
asifa gatotp,layan tokopedia mantab dan cepat harus beri rating bintang ini
Wildan Taufik,mantap
Muharom Ultras,tampil msh lbh bagus dan simpel sblm di update
Khomsin Fauzi,lama cuman beli barang kecil saja lot tidak niat
Nayla Arisya,bagus
horas naibaho (Baho),kenapa sih sering ganggu kalau saat checkout barang
Yasiroh Iroh,mantap
suharto harto,mudah harga saing
Irfan Husni Izzuddin (IRFAN HUSNI),mohon jangan tutup aku suka tokopedia karena kurir nya lebih cepat ketimbang shopee dan cari seller nya lebih percaya ketimbang shopee please tetap tahan
Arief Hidayat,good
ary Irawan,cepat dan tepat
